,price
21069,2278000
7307,1054000
16547,1185885
11751,1318000
12506,1362000
5507,735000
19688,616800
18169,1026160
2814,1869000
6271,2516000
1697,1860000
20146,987280
13858,2742300
5751,1479500
13373,1363000
15409,1750000
12974,1474000
1066,2792000
17495,2499000
16039,1224000
22043,725000
9300,1301000
22388,2500000
2439,1040000
23571,1180000
15976,2382000
19640,1800000
11912,1524000
13819,1301850
2782,1632000
6232,1688000
17098,880130
16622,2037500
3934,4350000
7721,3018000
2039,839999
23146,4300000
2360,2350000
20985,2931000
11177,3730000
11029,1088000
5567,18500000
1964,1269000
19040,1530000
5015,2273000
10934,1226000
17596,2391000
22068,1150000
10352,1611000
23238,1860000
20345,832000
6491,1355000
9642,814000
18573,1594000
5673,1091500
10475,1502000
10665,1179520
5288,2450000
18653,989400
3287,1111000
13592,1716660
7505,3641000
17970,2389000
9512,1728000
12269,2631000
11816,870000
18515,903000
20324,782400
83,1663000
22240,6403536
5191,1400000
17481,3150000
1253,1445000
4900,2305000
22106,820000
17628,1470646
9459,1196000
14672,2100000
2046,1790000
6442,1346000
17120,858176
12292,1682000
13805,1648350
19775,1225530
12656,1579000
6562,1795000
16105,1780000
7417,1388000
18709,1120757
21023,3055000
13980,1655000
11062,1142000
3059,1450000
13756,1892880
19025,1530000
5031,2553000
20030,1608000
11972,1513000
7552,3936270
3579,2695875
22178,1410000
11596,1230000
17812,2014000
17610,1204000
17491,973000
19491,1558000
8700,736000
12176,1382000
3984,2000000
4752,2304720
22237,7727400
8069,1630000
2089,1070000
18757,1616000
13845,2764080
6015,1778000
8883,1188000
18702,1337340
8114,6800000
4471,1486000
12761,2230000
13510,1939410
18475,935000
4069,4500000
16637,1224912
18586,1593300
6868,1221000
6770,911000
17980,2917000
11628,1204000
7775,2658000
3580,1492920
9303,1687000
12350,2149000
11414,1280000
6515,1289000
19747,1603200
1194,2965000
16120,1598000
16204,2210000
18538,1491500
12805,3262000
11388,2158000
3975,1952000
196,2168800
1119,2065000
18953,900000
8773,1462000
17137,1152936
15776,1379888
12572,3314000
10700,1314000
6280,1415000
22769,888000
18754,1543600
9992,705000
1588,1225000
13538,1297890
22799,983000
8489,1156000
1804,1265000
12402,1441000
21464,1649340
19437,1476000
19314,3480000
9942,1445000
18295,1777000
3655,2881525
15273,1333000
1776,1550000
18341,2361000
14189,4400000
19060,1530000
4464,1500000
8373,1665000
10157,1468000
285,1400000
16123,1480000
18220,2034000
23431,1180000
19168,1600000
6230,1138000
16612,1448553
549,2000000
20636,1834000
12585,2352000
2909,980000
16320,1560000
20201,1545480
22419,1304000
3048,1900000
22602,1082611
21025,2831000
3753,1210000
11333,2030000
16710,1326164
4046,2280000
11815,903000
16006,1732000
8299,920000
2452,1000000
15695,1456000
1979,3416340
20365,750000
2067,2620000
17818,1998000
16618,1470712
10125,738000
20101,1467720
7153,1616000
12532,1367000
4445,9000000
5893,1479500
18622,947810
15752,1295888
23377,2200000
4026,1500000
4691,11021600
11048,2119000
17827,2386000
14229,1900000
2919,690000
22525,2164000
13220,2425000
22810,1330000
13825,2220570
16174,2150000
1693,1388000
12216,1765000
19585,1620000
21671,3500000
16681,1763960
3624,2650000
20854,1950000
11983,1464000
4456,1150000
18960,3000000
23239,1775000
15499,2810000
14107,2030000
20412,1136500
21737,1630000
23005,1960000
3755,25375000
19739,1078400
19054,1206000
22309,2168000
5970,1279900
5453,15000000
5230,1360000
18276,2470000
4021,1800000
20628,1087000
12368,2120000
17699,2850750
6228,1486000
8542,1175000
20225,1413680
2966,1200000
22817,945000
5770,1152800
10790,2162000
10782,2563000
9278,762000
12366,1418000
15040,2025000
1303,2700000
22488,1146000
15516,1400000
19752,1529280
19290,3125000
6126,3465000
1373,1710000
10854,2553000
15890,2413000
10201,1161000
1135,2638000
7682,1674763
20176,1431270
426,1233000
11843,1237000
13019,1524000
9060,763000
7571,2797900
21778,2900000
339,3550000
3480,844000
5937,1327600
17473,985000
5687,1125400
18036,1458211
20467,2811000
18075,2890000
9419,1191000
23314,1850000
7719,1675724
3314,1427000
10384,1524000
15967,1722000
9773,1689000
11920,1683000
19754,828000
10607,2176000
3649,2054000
11535,2060000
2973,2050000
12320,1665000
2959,1180000
4371,2120000
2339,2532000
129,1628400
13559,1250370
401,2850000
19052,1520000
5350,980000
14492,2450000
17885,2474000
12307,2803000
13785,1579050
12442,1730000
6440,1724000
3008,2160000
10479,1756000
7554,2756000
21267,1809472
20461,1071000
8187,1138000
14619,2350000
20121,1007200
21112,2183000
7907,4070000
13236,2488000
1235,1468000
15616,1231000
9050,1693000
18003,1758000
14816,1470000
4981,2890000
21739,3427270
3269,1405000
11817,1046000
8670,842000
1442,1403700
22641,2680000
5022,2615000
13468,1310000
20298,1836800
19228,2550000
11807,1390000
8410,4180000
23421,1560000
8760,1407000
12294,3069000
14460,2923000
6286,1164000
608,1167000
15484,2638000
20710,1445000
19,4080000
11574,1713000
9178,1079000
19026,1200000
1643,1548570
21342,1342600
8344,900000
10995,2772000
8794,1330000
11051,2615000
4785,2410450
2487,1393000
19075,1480000
16051,1852000
19196,1380000
5081,4585000
23072,2030000
23082,6600000
15247,1018000
7653,3635370
5910,1147600
17929,1691000
13754,1633500
9000,1517000
4836,3840000
13059,1511000
8862,707000
23629,1988000
16778,1878505
7204,1248000
20387,1220000
1966,1798000
1775,1090000
17973,2075000
16632,1211706
3800,3100000
14001,1408000
12490,2235000
19971,1061910
2135,892000
13139,1391000
7591,2321045
12696,1399000
16431,4501200
8675,1217000
12261,2285000
19016,1490000
1983,3817000
12860,2414000
9272,1393000
17283,1645488
7886,2587860
18042,1352375
8845,885000
8546,858000
12650,1530000
657,1866000
14543,3688994
751,1243000
2081,1188000
1322,2250000
